pipeline,roi,scope,n_subjects,mean,median
attention_reference,early_visual,all,7,0.04395585985590408,0.07283248227520672
attention_reference,early_visual,between_set,7,0.008243407111622834,-0.06609696380767288
attention_reference,early_visual,block_residual,7,0.04949941003113524,0.040886308347314666
attention_reference,early_visual,within_set,7,0.10152456239412759,0.16073781291172592
attention_reference,higher_visual,all,7,0.09476661477988323,0.033040488922841865
attention_reference,higher_visual,between_set,7,0.01228685478020983,-0.03196242628635666
attention_reference,higher_visual,block_residual,7,0.055505273548473504,0.012187931589027999
attention_reference,higher_visual,within_set,7,0.11366459627329192,0.07852437417654808
attention_reference,nsdgeneral,all,7,0.06734942780940126,0.06240869553563051
attention_reference,nsdgeneral,between_set,7,0.02903633659013921,0.05031105013956767
attention_reference,nsdgeneral,block_residual,7,0.09125178298658997,0.06661828730026523
attention_reference,nsdgeneral,within_set,7,0.10372670807453414,0.04993412384716732
raw_glmsingle,early_visual,all,7,-0.04073064632551583,0.01782866256550467
raw_glmsingle,early_visual,between_set,7,0.022442427484011984,0.010717654119866244
raw_glmsingle,early_visual,block_residual,7,0.0818216795403457,0.050939018391227185
raw_glmsingle,early_visual,within_set,7,-0.15390551477508,-0.1727272727272727
raw_glmsingle,higher_visual,all,7,0.03721249265256342,0.049944379665741896
raw_glmsingle,higher_visual,between_set,7,-0.04265558291109179,0.005820877037545133
raw_glmsingle,higher_visual,block_residual,7,0.02786232676166011,0.05726687249510668
raw_glmsingle,higher_visual,within_set,7,0.0950122341426689,0.052832674571805
raw_glmsingle,nsdgeneral,all,7,-0.01659706944978948,-0.045280313082170655
raw_glmsingle,nsdgeneral,between_set,7,0.029786232135541914,-0.014804652890908572
raw_glmsingle,nsdgeneral,block_residual,7,0.09792156732301403,0.0685837418373365
raw_glmsingle,nsdgeneral,within_set,7,-0.0978919631093544,-0.08155467720685111
task_pooled,early_visual,all,7,0.10350312373753327,0.11231286773082438
task_pooled,early_visual,between_set,7,0.04593960823061398,0.03345813446130689
task_pooled,early_visual,block_residual,7,0.10608195839740686,0.12981607825241892
task_pooled,early_visual,within_set,7,0.224317711274233,0.1984189723320158
task_pooled,higher_visual,all,7,0.15802636844211368,0.18553067159878306
task_pooled,higher_visual,between_set,7,0.03880811520355377,0.043242161822287004
task_pooled,higher_visual,block_residual,7,0.09115138375100262,0.13643336305978884
task_pooled,higher_visual,within_set,7,0.2553171466214944,0.2657444005270092
task_pooled,nsdgeneral,all,7,0.10126155725448073,0.07888705721523058
task_pooled,nsdgeneral,between_set,7,0.057299641111696324,0.06401059380567226
task_pooled,nsdgeneral,block_residual,7,0.08378565942069797,0.08754307305584835
task_pooled,nsdgeneral,within_set,7,0.2387351778656126,0.2284584980237154
