stimulus_set,task,roi,feature_model,n_subjects,mean_rho,median_rho,p_greater,p_two_sided
A,imagery,early_visual,CLIP,7,0.0107142857142857,-0.007142857142857143,0.46875,0.9375
A,imagery,early_visual,HOG,7,0.15708037501566047,0.31390450145870163,0.1328125,0.265625
A,imagery,higher_visual,CLIP,7,0.04540816326530612,0.06785714285714285,0.171875,0.34375
A,imagery,higher_visual,HOG,7,0.07969330608461732,0.010762440050012628,0.234375,0.46875
A,imagery,nsdgeneral,CLIP,7,0.011224489795918367,0.08214285714285714,0.4609375,0.921875
A,imagery,nsdgeneral,HOG,7,0.05816842598459205,0.052018460241727696,0.3515625,0.703125
A,vision,early_visual,CLIP,7,0.08520408163265306,0.06785714285714285,0.0078125,0.015625
A,vision,early_visual,HOG,7,0.3654104645551906,0.4107664619088153,0.0078125,0.015625
A,vision,higher_visual,CLIP,7,0.06020408163265306,0.06785714285714285,0.109375,0.21875
A,vision,higher_visual,HOG,7,0.04843098022505682,0.05739968026673401,0.28125,0.5625
A,vision,nsdgeneral,CLIP,7,0.04387755102040817,0.05,0.203125,0.40625
A,vision,nsdgeneral,HOG,7,0.2454861325693356,0.303142061408689,0.0078125,0.015625
B,imagery,early_visual,CLIP,7,-0.18979591836734697,-0.1357142857142857,1.0,0.015625
B,imagery,early_visual,HOG,7,-0.058163265306122446,-0.09642857142857143,0.8984375,0.234375
B,imagery,higher_visual,CLIP,7,-0.02040816326530612,-0.04642857142857143,0.640625,0.75
B,imagery,higher_visual,HOG,7,0.111734693877551,0.15,0.09375,0.1875
B,imagery,nsdgeneral,CLIP,7,-0.03724489795918367,0.05714285714285714,0.640625,0.734375
B,imagery,nsdgeneral,HOG,7,0.05051020408163265,0.05,0.28125,0.5625
B,vision,early_visual,CLIP,7,-0.2586734693877551,-0.34285714285714286,0.9921875,0.03125
B,vision,early_visual,HOG,7,0.1076530612244898,0.03214285714285714,0.0546875,0.109375
B,vision,higher_visual,CLIP,7,-0.10510204081632654,-0.075,0.984375,0.046875
B,vision,higher_visual,HOG,7,0.02551020408163265,-0.010714285714285714,0.3203125,0.640625
B,vision,nsdgeneral,CLIP,7,-0.07857142857142858,-0.1,0.8984375,0.21875
B,vision,nsdgeneral,HOG,7,0.04795918367346937,0.007142857142857143,0.28125,0.5625
