subject,phase,roi,scope,rho,n_voxels
1,pilot,nsdgeneral,all,0.3496743194885609,1200
1,pilot,nsdgeneral,within_set,0.15111989459815545,1200
1,pilot,nsdgeneral,between_set,0.01906313412786876,1200
1,pilot,nsdgeneral,block_residual,0.014467542826297492,1200
1,pilot,early_visual,all,0.30330840470159354,1200
1,pilot,early_visual,within_set,-0.05006587615283267,1200
1,pilot,early_visual,between_set,0.05848504768165232,1200
1,pilot,early_visual,block_residual,0.0046461435085552545,1200
1,pilot,higher_visual,all,0.34009488963049334,1200
1,pilot,higher_visual,within_set,0.3364953886693017,1200
1,pilot,higher_visual,between_set,-0.070717463583793,1200
1,pilot,higher_visual,block_residual,-0.011125832056547366,1200
2,heldout,nsdgeneral,all,0.3447522549689732,1200
2,heldout,nsdgeneral,within_set,0.24927536231884057,1200
2,heldout,nsdgeneral,between_set,0.07775777149008735,1200
2,heldout,nsdgeneral,block_residual,0.047996705734991034,1200
2,heldout,early_visual,all,0.3457272861297629,1200
2,heldout,early_visual,within_set,0.2403162055335968,1200
2,heldout,early_visual,between_set,0.10268941667381176,1200
2,heldout,early_visual,block_residual,0.12311798965253919,1200
2,heldout,higher_visual,all,0.33152399715867203,1200
2,heldout,higher_visual,within_set,0.31159420289855067,1200
2,heldout,higher_visual,between_set,-0.12680175674259528,1200
2,heldout,higher_visual,block_residual,-0.03771510440357173,1200
3,heldout,nsdgeneral,all,0.33194282497688066,1200
3,heldout,nsdgeneral,within_set,0.06864295125164689,1200
3,heldout,nsdgeneral,between_set,-0.11746548915373402,1200
3,heldout,nsdgeneral,block_residual,-0.09006846164216128,1200
3,heldout,early_visual,all,0.27255639097744355,1200
3,heldout,early_visual,within_set,0.22463768115942026,1200
3,heldout,early_visual,between_set,-0.09252431716634751,1200
3,heldout,early_visual,block_residual,-0.048928353778459256,1200
3,heldout,higher_visual,all,0.33950182943990986,1200
3,heldout,higher_visual,within_set,0.19525691699604739,1200
3,heldout,higher_visual,between_set,-0.24864004877723475,1200
3,heldout,higher_visual,block_residual,-0.1850605339822348,1200
4,heldout,nsdgeneral,all,0.4584489298111589,1200
4,heldout,nsdgeneral,within_set,0.19986824769433462,1200
4,heldout,nsdgeneral,between_set,-0.03477283336667714,1200
4,heldout,nsdgeneral,block_residual,0.010643293286313716,1200
4,heldout,early_visual,all,0.4095499443796657,1200
4,heldout,early_visual,within_set,0.3537549407114624,1200
4,heldout,early_visual,between_set,0.030876370668876885,1200
4,heldout,early_visual,block_residual,0.12186813034669434,1200
4,heldout,higher_visual,all,0.49153967807218574,1200
4,heldout,higher_visual,within_set,0.03162055335968379,1200
4,heldout,higher_visual,between_set,0.08685586898739604,1200
4,heldout,higher_visual,block_residual,0.13239384837230908,1200
5,heldout,nsdgeneral,all,0.34604559527160145,1200
5,heldout,nsdgeneral,within_set,0.3063241106719367,1200
5,heldout,nsdgeneral,between_set,-0.11395962540608001,1200
5,heldout,nsdgeneral,block_residual,-0.04876369926699224,1200
5,heldout,early_visual,all,0.22815394100223824,1200
5,heldout,early_visual,within_set,0.34505928853754936,1200
5,heldout,early_visual,between_set,-0.08198767231606124,1200
5,heldout,early_visual,block_residual,-0.006278240371259638,1200
5,heldout,higher_visual,all,0.41634835752482807,1200
5,heldout,higher_visual,within_set,0.3748353096179182,1200
5,heldout,higher_visual,between_set,-0.16801470938485427,1200
5,heldout,higher_visual,block_residual,-0.11514613683563327,1200
6,heldout,nsdgeneral,all,0.4729504241888142,1200
6,heldout,nsdgeneral,within_set,0.5148880105401844,1200
6,heldout,nsdgeneral,between_set,-0.004620499776120114,1200
6,heldout,nsdgeneral,block_residual,0.0649608413574672,1200
6,heldout,early_visual,all,0.43217334780802275,1200
6,heldout,early_visual,within_set,0.49696969696969695,1200
6,heldout,early_visual,between_set,-0.010336581973382108,1200
6,heldout,early_visual,block_residual,0.17232488699614773,1200
6,heldout,higher_visual,all,0.36696688244675857,1200
6,heldout,higher_visual,within_set,0.10790513833992094,1200
6,heldout,higher_visual,between_set,0.04522373698400449,1200
6,heldout,higher_visual,block_residual,0.0469973673064009,1200
7,heldout,nsdgeneral,all,0.3933496843713561,1200
7,heldout,nsdgeneral,within_set,0.12516469038208167,1200
7,heldout,nsdgeneral,between_set,-0.06267684129297779,1200
7,heldout,nsdgeneral,block_residual,-0.01196512776837927,1200
7,heldout,early_visual,all,0.34191762829533723,1200
7,heldout,early_visual,within_set,0.18998682476943346,1200
7,heldout,early_visual,between_set,-0.039764878485619284,1200
7,heldout,early_visual,block_residual,0.04412539736771615,1200
7,heldout,higher_visual,all,0.46326042378673954,1200
7,heldout,higher_visual,within_set,0.19288537549407114,1200
7,heldout,higher_visual,between_set,0.023521678241733117,1200
7,heldout,higher_visual,block_residual,0.05816326759935235,1200
8,heldout,nsdgeneral,all,0.38944285848310617,1200
8,heldout,nsdgeneral,within_set,0.25889328063241107,1200
8,heldout,nsdgeneral,between_set,0.04699572246515571,1200
8,heldout,nsdgeneral,block_residual,0.07768701364119791,1200
8,heldout,early_visual,all,0.32892726468577854,1200
8,heldout,early_visual,within_set,0.012384716732542817,1200
8,heldout,early_visual,between_set,0.1348709594443968,1200
8,heldout,early_visual,block_residual,0.07339005788959845,1200
8,heldout,higher_visual,all,0.3817498291182502,1200
8,heldout,higher_visual,within_set,0.37127799736495387,1200
8,heldout,higher_visual,between_set,-0.05189249954747682,1200
8,heldout,higher_visual,block_residual,0.04314063182567581,1200
