stimulus_set,task,roi_pair,n_subjects,mean_rho,median_rho,p_greater,p_two_sided
A,imagery,early_vs_higher,7,0.46836734693877535,0.4535714285714285,0.015625,0.03125
A,imagery,nsdgeneral_vs_early,7,0.7285714285714284,0.7392857142857142,0.0078125,0.015625
A,imagery,nsdgeneral_vs_higher,7,0.7229591836734691,0.7928571428571427,0.0078125,0.015625
A,vision,early_vs_higher,7,0.3959183673469387,0.3857142857142856,0.0078125,0.015625
A,vision,nsdgeneral_vs_early,7,0.795408163265306,0.7928571428571427,0.0078125,0.015625
A,vision,nsdgeneral_vs_higher,7,0.6938775510204082,0.7285714285714285,0.0078125,0.015625
B,imagery,early_vs_higher,7,0.3627551020408163,0.34642857142857136,0.0078125,0.015625
B,imagery,nsdgeneral_vs_early,7,0.6658163265306122,0.657142857142857,0.0078125,0.015625
B,imagery,nsdgeneral_vs_higher,7,0.7780612244897959,0.7964285714285713,0.0078125,0.015625
B,vision,early_vs_higher,7,0.446938775510204,0.47857142857142854,0.0078125,0.015625
B,vision,nsdgeneral_vs_early,7,0.6515306122448978,0.7,0.0078125,0.015625
B,vision,nsdgeneral_vs_higher,7,0.8020408163265307,0.7999999999999999,0.0078125,0.015625
