subject,stimulus_set,region,matched_correlation,mismatched_correlation,target_specific_contrast,n_voxels
subj01,A,early_visual,0.20669695324745682,-0.04148177620985208,0.2481787294573089,4657
subj01,A,higher_visual,0.11825810539869774,-0.023714908784213177,0.14197301418291092,11067
subj01,A,visual_cortex,0.15307410014842313,-0.030696830466559466,0.1837709306149826,15724
subj01,B,early_visual,0.07307164256456748,-0.01480720958341374,0.08787885214798122,4657
subj01,B,higher_visual,0.0945252742811052,-0.01859230475801329,0.1131175790391185,11067
subj01,B,visual_cortex,0.09494630623189919,-0.018919184227199945,0.11386549045909913,15724
subj02,A,early_visual,0.19791815855120565,-0.03969352840452031,0.23761168695572596,3757
subj02,A,higher_visual,0.028478220000053584,-0.00548975349956528,0.033967973499618866,10521
subj02,A,visual_cortex,0.08237652692289771,-0.01640897252923579,0.0987854994521335,14278
subj02,B,early_visual,0.05294780419928125,-0.010559489304582705,0.06350729350386396,3757
subj02,B,higher_visual,0.20811365241505367,-0.04137567455026593,0.2494893269653196,10521
subj02,B,visual_cortex,0.15746181818738728,-0.03135004259387753,0.1888118607812648,14278
subj03,A,early_visual,0.2086123367037518,-0.04198189894360434,0.2505942356473561,3749
subj03,A,higher_visual,0.08336586427857733,-0.016683792844700954,0.10004965712327828,11477
subj03,A,visual_cortex,0.11830489217945271,-0.023699329612824095,0.1420042217922768,15226
subj03,B,early_visual,0.042137074042129775,-0.008574585110483276,0.05071165915261305,3749
subj03,B,higher_visual,0.09691124063204352,-0.01953804555611741,0.11644928618816093,11477
subj03,B,visual_cortex,0.09347625229166627,-0.018855948632522417,0.11233220092418869,15226
subj04,A,early_visual,0.06315381918376307,-0.012689366133590492,0.07584318531735357,3023
subj04,A,higher_visual,0.004760121337383116,-0.0011568681918307402,0.005916989529213856,10130
subj04,A,visual_cortex,0.02157996245253198,-0.004434392585564293,0.026014355038096272,13153
subj04,B,early_visual,0.01902436161480113,-0.003976126977071812,0.023000488591872943,3023
subj04,B,higher_visual,0.047898994631733006,-0.009615869658240628,0.057514864289973634,10130
subj04,B,visual_cortex,0.04277238025074654,-0.008610768553588936,0.05138314880433548,13153
subj05,A,early_visual,0.12951934424408862,-0.025785599144246083,0.1553049433883347,3661
subj05,A,higher_visual,0.055608747857101064,-0.011081101797894465,0.06668984965499553,9378
subj05,A,visual_cortex,0.0887461947113642,-0.017724838570378765,0.10647103328174297,13039
subj05,B,early_visual,0.04537745108261493,-0.0089228420005449,0.054300293083159826,3661
subj05,B,higher_visual,0.07563555853454863,-0.014948435028175729,0.09058399356272437,9378
subj05,B,visual_cortex,0.06281400047536728,-0.012619236926832708,0.0754332374022,13039
subj06,A,early_visual,0.25962621944155667,-0.052026622731707176,0.31165284217326383,3983
subj06,A,higher_visual,0.1506527579873662,-0.030104562441306108,0.1807573204286723,13924
subj06,A,visual_cortex,0.18334307843556363,-0.03667582540391737,0.220018903839481,17907
subj06,B,early_visual,-0.03272063345281081,0.006531297333645141,-0.039251930786455946,3983
subj06,B,higher_visual,0.06605437634410814,-0.013147058236257583,0.07920143458036573,13924
subj06,B,visual_cortex,0.04813754213298121,-0.0096411343067182,0.05777867643969941,17907
subj07,A,early_visual,0.09846658751896341,-0.019462419092807767,0.11792900661177118,3251
subj07,A,higher_visual,0.09824748373391841,-0.019710980771061284,0.1179584645049797,9431
subj07,A,visual_cortex,0.1097999614231328,-0.022039960183848014,0.1318399216069808,12682
subj07,B,early_visual,-0.005818124285755249,0.0009210791845899703,-0.006739203470345219,3251
subj07,B,higher_visual,0.014628682878008089,-0.0032892318340089605,0.01791791471201705,9431
subj07,B,visual_cortex,0.01295417320479507,-0.0028981497964272194,0.015852323001222288,12682
subj08,A,early_visual,-0.053145626603769695,0.010376688615236218,-0.06352231521900592,3491
subj08,A,higher_visual,0.026154121344212886,-0.005413874890437498,0.03156799623465038,10895
subj08,A,visual_cortex,0.0012942283714348843,-0.0005012450019927912,0.0017954733734276756,14386
subj08,B,early_visual,0.012083595932659402,-0.0024002023722797723,0.014483798304939174,3491
subj08,B,higher_visual,-0.019321469943429256,0.003865266203953527,-0.023186736147382783,10895
subj08,B,visual_cortex,-0.005637607951921701,0.0009883648084364474,-0.006625972760358149,14386
