method,subject,task,stimulus_set,target_number,sample,region,brain_correlation,n_voxels
GroundTruth_GNet,subj05,vision,A,1,1,early_visual,0.28862281867486317,3661
GroundTruth_GNet,subj05,vision,A,2,1,early_visual,0.3331759342251642,3661
GroundTruth_GNet,subj05,vision,A,3,1,early_visual,0.35328817005747615,3661
GroundTruth_GNet,subj05,vision,A,4,1,early_visual,0.24960461080089433,3661
GroundTruth_GNet,subj05,vision,A,5,1,early_visual,-0.030997575143303712,3661
GroundTruth_GNet,subj05,vision,A,6,1,early_visual,-0.05856271186376201,3661
GroundTruth_GNet,subj05,vision,B,1,1,early_visual,0.4990367807428216,3661
GroundTruth_GNet,subj05,vision,B,2,1,early_visual,0.4511363854255072,3661
GroundTruth_GNet,subj05,vision,B,3,1,early_visual,0.2509360779622558,3661
GroundTruth_GNet,subj05,vision,B,4,1,early_visual,0.3737425142006267,3661
GroundTruth_GNet,subj05,vision,B,5,1,early_visual,0.5027154131086639,3661
GroundTruth_GNet,subj05,vision,B,6,1,early_visual,0.4600002188649395,3661
GroundTruth_GNet,subj05,vision,A,1,1,higher_visual,0.21625984206729695,9378
GroundTruth_GNet,subj05,vision,A,2,1,higher_visual,0.06509421387387535,9378
GroundTruth_GNet,subj05,vision,A,3,1,higher_visual,0.0376979090043137,9378
GroundTruth_GNet,subj05,vision,A,4,1,higher_visual,0.17581567850643237,9378
GroundTruth_GNet,subj05,vision,A,5,1,higher_visual,-0.0817921517886877,9378
GroundTruth_GNet,subj05,vision,A,6,1,higher_visual,0.1651721273146114,9378
GroundTruth_GNet,subj05,vision,B,1,1,higher_visual,0.5398349999695461,9378
GroundTruth_GNet,subj05,vision,B,2,1,higher_visual,0.20671549397414524,9378
GroundTruth_GNet,subj05,vision,B,3,1,higher_visual,0.154616604736602,9378
GroundTruth_GNet,subj05,vision,B,4,1,higher_visual,0.43555003358362376,9378
GroundTruth_GNet,subj05,vision,B,5,1,higher_visual,0.4423007056231408,9378
GroundTruth_GNet,subj05,vision,B,6,1,higher_visual,0.2624122781331918,9378
GroundTruth_GNet,subj05,vision,A,1,1,visual_cortex,0.27901421699482387,13039
GroundTruth_GNet,subj05,vision,A,2,1,visual_cortex,0.19882624511354502,13039
GroundTruth_GNet,subj05,vision,A,3,1,visual_cortex,0.16467442329259552,13039
GroundTruth_GNet,subj05,vision,A,4,1,visual_cortex,0.21065768073577254,13039
GroundTruth_GNet,subj05,vision,A,5,1,visual_cortex,-0.13874953888246305,13039
GroundTruth_GNet,subj05,vision,A,6,1,visual_cortex,0.01225549043731314,13039
GroundTruth_GNet,subj05,vision,B,1,1,visual_cortex,0.5427304082664817,13039
GroundTruth_GNet,subj05,vision,B,2,1,visual_cortex,0.3488403741485737,13039
GroundTruth_GNet,subj05,vision,B,3,1,visual_cortex,0.22311288001255525,13039
GroundTruth_GNet,subj05,vision,B,4,1,visual_cortex,0.41972797296717046,13039
GroundTruth_GNet,subj05,vision,B,5,1,visual_cortex,0.4572392355378931,13039
GroundTruth_GNet,subj05,vision,B,6,1,visual_cortex,0.3505996344538086,13039
