method,subject,task,stimulus_sets,region,n_targets,n_voxels,mean_voxel_target_correlation,median_voxel_target_correlation,fraction_positive_target_correlation,mean_voxel_target_r2,median_voxel_target_r2,fraction_positive_target_r2
DINOv2_PyramidRidge,subj01,vision,A+B,visual_cortex,12,15724,0.24600371188511677,0.24464506384280138,0.8171584838463495,-1.3722220503973943,-0.7353017887379651,0.15981938438056476
DINOv2_PyramidRidge,subj01,vision,A+B,early_visual,12,4657,0.25492947310727154,0.25028057813379256,0.8501181017822632,-1.3473653976522104,-0.7707347024541045,0.15610908310070862
DINOv2_PyramidRidge,subj01,vision,A+B,higher_visual,12,11067,0.2422477464011035,0.23985781033491402,0.8032890575585073,-1.3826817442470667,-0.7205705919482521,0.16138068130477998
DINOv2_PyramidRidge,subj01,vision,A+B,V1,12,1350,0.24422387868639497,0.2263332534142364,0.8777777777777778,-1.6740819800830977,-1.0124489154452034,0.13555555555555557
DINOv2_PyramidRidge,subj01,vision,A+B,V2,12,1433,0.23805713653181737,0.2415720769055829,0.8206559665038381,-1.2105528397826828,-0.7227860925546199,0.16678297278436846
DINOv2_PyramidRidge,subj01,vision,A+B,V3,12,1187,0.25479066257862054,0.2574963161114284,0.8475147430497051,-1.294119268942233,-0.7281525435310792,0.14490311710193765
DINOv2_PyramidRidge,subj01,vision,A+B,V4,12,687,0.3114001847205434,0.303696243149973,0.8617176128093159,-1.0827193480511605,-0.5883150155405883,0.19359534206695778
DINOv2_PyramidRidge,subj01,imagery,A+B,visual_cortex,12,15724,0.13601092603558274,0.1299199633953732,0.7061180361231238,-3.820921301974181,-2.0028420679451706,0.04082930552022386
DINOv2_PyramidRidge,subj01,imagery,A+B,early_visual,12,4657,0.10361450833838287,0.09924801867375667,0.6905733304702598,-5.470225891780367,-3.0178367908720958,0.028344427743182306
DINOv2_PyramidRidge,subj01,imagery,A+B,higher_visual,12,11067,0.14964335733727785,0.14890521103246387,0.7126592572512876,-3.126892976797764,-1.7035322340870152,0.04608294930875576
DINOv2_PyramidRidge,subj01,imagery,A+B,V1,12,1350,0.058386236426731505,0.06150482904588981,0.6325925925925926,-8.99558482914042,-5.363836214057393,0.013333333333333334
DINOv2_PyramidRidge,subj01,imagery,A+B,V2,12,1433,0.0995208492743821,0.09508907024604953,0.6950453593859037,-4.280727391140518,-2.6900728063756967,0.030006978367062107
DINOv2_PyramidRidge,subj01,imagery,A+B,V3,12,1187,0.1427670702226626,0.13807463446816817,0.7363100252737995,-4.046504547866837,-2.377933006769649,0.03454085930918281
DINOv2_PyramidRidge,subj01,imagery,A+B,V4,12,687,0.13338203317506755,0.1287494181858429,0.7161572052401747,-3.48372519484615,-2.015997037044119,0.043668122270742356
