task,region,voxel_set,n_voxels,mean_voxel_target_r2,median_voxel_target_r2,fraction_positive_target_r2
vision,visual_cortex,all_visual_voxels,15724,-1.3722220503973943,-0.7353017887379651,0.15981938438056476
vision,early_visual,all_visual_voxels,4657,-1.3473653976522102,-0.7707347024541045,0.15610908310070862
vision,higher_visual,all_visual_voxels,11067,-1.3826817442470667,-0.7205705919482521,0.16138068130477998
vision,V1,all_visual_voxels,1350,-1.6740819800830977,-1.0124489154452034,0.13555555555555557
vision,V2,all_visual_voxels,1433,-1.2105528397826828,-0.7227860925546199,0.16678297278436846
vision,V3,all_visual_voxels,1187,-1.294119268942233,-0.7281525435310792,0.14490311710193765
vision,V4,all_visual_voxels,687,-1.0827193480511605,-0.5883150155405883,0.19359534206695778
imagery,visual_cortex,all_visual_voxels,15724,-3.8209213019741814,-2.0028420679451706,0.04082930552022386
imagery,early_visual,all_visual_voxels,4657,-5.470225891780367,-3.017836790872096,0.028344427743182306
imagery,higher_visual,all_visual_voxels,11067,-3.126892976797764,-1.7035322340870152,0.04608294930875576
imagery,V1,all_visual_voxels,1350,-8.99558482914042,-5.363836214057393,0.013333333333333334
imagery,V2,all_visual_voxels,1433,-4.280727391140518,-2.6900728063756967,0.030006978367062107
imagery,V3,all_visual_voxels,1187,-4.046504547866836,-2.377933006769649,0.03454085930918281
imagery,V4,all_visual_voxels,687,-3.48372519484615,-2.015997037044119,0.043668122270742356
vision,visual_cortex,core_test_r2_gt_0,12633,-1.4789001860119846,-0.8115300044111982,0.16931845167418666
vision,early_visual,core_test_r2_gt_0,3994,-1.41553305030811,-0.8312245894092625,0.16249374061091637
vision,higher_visual,core_test_r2_gt_0,8639,-1.5081962086999434,-0.8037895733703868,0.17247366593355712
vision,V1,core_test_r2_gt_0,1224,-1.7458840837671619,-1.0800212166545007,0.1388888888888889
vision,V2,core_test_r2_gt_0,1166,-1.2839784321522838,-0.8312691047542129,0.1758147512864494
vision,V3,core_test_r2_gt_0,1035,-1.3228474471619927,-0.7484603321317462,0.15458937198067632
vision,V4,core_test_r2_gt_0,569,-1.1430771963046744,-0.597806917144347,0.20035149384885764
imagery,visual_cortex,core_test_r2_gt_0,12633,-4.298883311358841,-2.3754899205624755,0.03736246338953535
imagery,early_visual,core_test_r2_gt_0,3994,-6.07368358470223,-3.608155927972733,0.022033049574361543
imagery,higher_visual,core_test_r2_gt_0,8639,-3.478354049669584,-1.97877362282913,0.04444958907280935
imagery,V1,core_test_r2_gt_0,1224,-9.694261906183415,-6.1820514501223105,0.010620915032679739
imagery,V2,core_test_r2_gt_0,1166,-4.864873805798144,-3.3499383328979158,0.018010291595197257
imagery,V3,core_test_r2_gt_0,1035,-4.33162222502581,-2.665821612903148,0.030917874396135265
imagery,V4,core_test_r2_gt_0,569,-3.9311841892264554,-2.476192355975146,0.03866432337434095
