subject,phase,stimulus_set,decoder,accuracy,chance,subject_p_greater,alignment_components,alignment_alpha,alignment_set_c_cv_r2,alignment_training_set,shuffled_alignment_mean_accuracy,shuffled_alignment_q95_accuracy,shuffled_alignment_p_greater
1,pilot,A,same_visual,0.16666666666666666,0.16666666666666666,0.5736111111111111,16,10.0,0.724048012349135,Set C vision only,,,
1,pilot,A,aligned_parietal_to_visual,0.17708333333333334,0.16666666666666666,0.41944444444444445,16,10.0,0.724048012349135,Set C vision only,0.16239583333333335,0.22916666666666666,0.3465346534653465
1,pilot,A,within_parietal,0.21875,0.16666666666666666,0.05138888888888889,16,10.0,0.724048012349135,Set C vision only,,,
1,pilot,B,same_visual,0.1875,0.16666666666666666,0.32083333333333336,16,10.0,0.724048012349135,Set C vision only,,,
1,pilot,B,aligned_parietal_to_visual,0.15625,0.16666666666666666,0.6722222222222223,16,10.0,0.724048012349135,Set C vision only,0.16395833333333332,0.22916666666666666,0.5841584158415841
1,pilot,B,within_parietal,0.15625,0.16666666666666666,0.6527777777777778,16,10.0,0.724048012349135,Set C vision only,,,
2,validation,A,same_visual,0.17708333333333334,0.16666666666666666,0.43194444444444446,4,10.0,0.6625831509386472,Set C vision only,,,
2,validation,A,aligned_parietal_to_visual,0.17708333333333334,0.16666666666666666,0.44027777777777777,4,10.0,0.6625831509386472,Set C vision only,0.16041666666666668,0.21875,0.40594059405940597
2,validation,A,within_parietal,0.15625,0.16666666666666666,0.6361111111111111,4,10.0,0.6625831509386472,Set C vision only,,,
2,validation,B,same_visual,0.20833333333333334,0.16666666666666666,0.1625,4,10.0,0.6625831509386472,Set C vision only,,,
2,validation,B,aligned_parietal_to_visual,0.1875,0.16666666666666666,0.3611111111111111,4,10.0,0.6625831509386472,Set C vision only,0.16479166666666664,0.2713541666666666,0.39603960396039606
2,validation,B,within_parietal,0.3333333333333333,0.16666666666666666,0.001388888888888889,4,10.0,0.6625831509386472,Set C vision only,,,
3,validation,A,same_visual,0.25,0.16666666666666666,0.058333333333333334,16,10.0,0.6651079208804086,Set C vision only,,,
3,validation,A,aligned_parietal_to_visual,0.21875,0.16666666666666666,0.1638888888888889,16,10.0,0.6651079208804086,Set C vision only,0.16864583333333333,0.25,0.16831683168316833
3,validation,A,within_parietal,0.2708333333333333,0.16666666666666666,0.006944444444444444,16,10.0,0.6651079208804086,Set C vision only,,,
3,validation,B,same_visual,0.19791666666666666,0.16666666666666666,0.18194444444444444,16,10.0,0.6651079208804086,Set C vision only,,,
3,validation,B,aligned_parietal_to_visual,0.19791666666666666,0.16666666666666666,0.20833333333333334,16,10.0,0.6651079208804086,Set C vision only,0.1667708333333333,0.2192708333333333,0.21782178217821782
3,validation,B,within_parietal,0.20833333333333334,0.16666666666666666,0.15,16,10.0,0.6651079208804086,Set C vision only,,,
4,validation,A,same_visual,0.11458333333333333,0.16666666666666666,0.9583333333333334,16,10.0,0.6634784278725109,Set C vision only,,,
4,validation,A,aligned_parietal_to_visual,0.16666666666666666,0.16666666666666666,0.5597222222222222,16,10.0,0.6634784278725109,Set C vision only,0.16364583333333332,0.22916666666666666,0.49504950495049505
4,validation,A,within_parietal,0.16666666666666666,0.16666666666666666,0.5694444444444444,16,10.0,0.6634784278725109,Set C vision only,,,
4,validation,B,same_visual,0.1875,0.16666666666666666,0.3333333333333333,16,10.0,0.6634784278725109,Set C vision only,,,
4,validation,B,aligned_parietal_to_visual,0.16666666666666666,0.16666666666666666,0.5638888888888889,16,10.0,0.6634784278725109,Set C vision only,0.16614583333333333,0.22968749999999996,0.5247524752475248
4,validation,B,within_parietal,0.19791666666666666,0.16666666666666666,0.2263888888888889,16,10.0,0.6634784278725109,Set C vision only,,,
5,validation,A,same_visual,0.16666666666666666,0.16666666666666666,0.5263888888888889,16,10.0,0.6644580548700909,Set C vision only,,,
5,validation,A,aligned_parietal_to_visual,0.21875,0.16666666666666666,0.10416666666666667,16,10.0,0.6644580548700909,Set C vision only,0.16677083333333337,0.23958333333333334,0.12871287128712872
5,validation,A,within_parietal,0.23958333333333334,0.16666666666666666,0.03611111111111111,16,10.0,0.6644580548700909,Set C vision only,,,
5,validation,B,same_visual,0.21875,0.16666666666666666,0.1375,16,10.0,0.6644580548700909,Set C vision only,,,
5,validation,B,aligned_parietal_to_visual,0.22916666666666666,0.16666666666666666,0.1,16,10.0,0.6644580548700909,Set C vision only,0.17052083333333332,0.24010416666666665,0.12871287128712872
5,validation,B,within_parietal,0.15625,0.16666666666666666,0.6361111111111111,16,10.0,0.6644580548700909,Set C vision only,,,
6,validation,A,same_visual,0.21875,0.16666666666666666,0.14305555555555555,16,10.0,0.6583166235257644,Set C vision only,,,
6,validation,A,aligned_parietal_to_visual,0.15625,0.16666666666666666,0.6861111111111111,16,10.0,0.6583166235257644,Set C vision only,0.16479166666666667,0.23958333333333334,0.6039603960396039
6,validation,A,within_parietal,0.22916666666666666,0.16666666666666666,0.10555555555555556,16,10.0,0.6583166235257644,Set C vision only,,,
6,validation,B,same_visual,0.15625,0.16666666666666666,0.6597222222222222,16,10.0,0.6583166235257644,Set C vision only,,,
6,validation,B,aligned_parietal_to_visual,0.15625,0.16666666666666666,0.6361111111111111,16,10.0,0.6583166235257644,Set C vision only,0.16583333333333333,0.23958333333333334,0.6534653465346535
6,validation,B,within_parietal,0.16666666666666666,0.16666666666666666,0.5513888888888889,16,10.0,0.6583166235257644,Set C vision only,,,
7,validation,A,same_visual,0.20833333333333334,0.16666666666666666,0.20277777777777778,16,10.0,0.6840810123904609,Set C vision only,,,
7,validation,A,aligned_parietal_to_visual,0.19791666666666666,0.16666666666666666,0.28055555555555556,16,10.0,0.6840810123904609,Set C vision only,0.16197916666666665,0.22968749999999996,0.22772277227722773
7,validation,A,within_parietal,0.21875,0.16666666666666666,0.13194444444444445,16,10.0,0.6840810123904609,Set C vision only,,,
7,validation,B,same_visual,0.16666666666666666,0.16666666666666666,0.5597222222222222,16,10.0,0.6840810123904609,Set C vision only,,,
7,validation,B,aligned_parietal_to_visual,0.16666666666666666,0.16666666666666666,0.5666666666666667,16,10.0,0.6840810123904609,Set C vision only,0.16552083333333328,0.23958333333333334,0.48514851485148514
7,validation,B,within_parietal,0.1875,0.16666666666666666,0.35694444444444445,16,10.0,0.6840810123904609,Set C vision only,,,
8,validation,A,same_visual,0.16666666666666666,0.16666666666666666,0.5194444444444445,16,10.0,0.7054265958565101,Set C vision only,,,
8,validation,A,aligned_parietal_to_visual,0.1875,0.16666666666666666,0.33055555555555555,16,10.0,0.7054265958565101,Set C vision only,0.1589583333333333,0.22916666666666666,0.297029702970297
8,validation,A,within_parietal,0.20833333333333334,0.16666666666666666,0.1527777777777778,16,10.0,0.7054265958565101,Set C vision only,,,
8,validation,B,same_visual,0.16666666666666666,0.16666666666666666,0.5611111111111111,16,10.0,0.7054265958565101,Set C vision only,,,
8,validation,B,aligned_parietal_to_visual,0.13541666666666666,0.16666666666666666,0.85,16,10.0,0.7054265958565101,Set C vision only,0.16166666666666668,0.21875,0.7722772277227723
8,validation,B,within_parietal,0.15625,0.16666666666666666,0.6805555555555556,16,10.0,0.7054265958565101,Set C vision only,,,
